dataset_id,dataset_name,source,url,real_or_simulated,engine_type,aircraft_or_uav_type,engine_category,number_of_flights_or_runs,number_of_rows,file_size_raw,file_size_selected_subset,sampling_frequency_hz,sensors_available,fault_labels_present,degradation_labels_present,rul_labels_present,missing_values_profile,units_provided,license,academic_use_permitted,commercial_use_permitted,downloadable_status,reproducibility_level,relevance_to_sih26054,fault_injection_suitability,realism_score,piston_relevance_score,sensor_richness_score,data_quality_score,size_efficiency_score,fault_modelling_score,licensing_clarity_score,reproducibility_score,sih_relevance_score,overall_score,recommendation_verdict
DS-01,NGAFID Aviation Maintenance Dataset,Zenodo / RIT / NASA NGAFID,https://doi.org/10.5281/zenodo.6624956,Real Flight Telemetry,Lycoming IO-360-L2A (4-cyl naturally aspirated / fuel injected),Cessna 172 Skyhawk (Garmin G1000),Aero Piston,"28,935 flights (31,177 hrs)",>112000000 rows (full),5.4 GB (4.3 GB all / 1.1 GB 2-day),15 MB (5 selected full flights),1 Hz,"E1 RPM, E1 OilT, E1 OilP, E1 MAP, E1 FFlow, E1 CHT1-4, E1 EGT1-4, volt1-2, amp1-2, FQtyL-R, IAS, VSpd, AltMSL, OAT, Pitch, Roll",Yes (unplanned maintenance records: cylinder/spark/baffle/oil leaks),Yes (pre-maintenance operational wear),Yes (flight hours to maintenance event),<0.1% (clean Garmin G1000 digital bus),Yes (deg F / psi / GPH / RPM / knots / ft / V / A),Creative Commons Attribution 4.0 International (CC-BY 4.0),Yes,Yes,Directly Downloadable (Zenodo / Kaggle),High (Zenodo DOI + Python GitHub repo),High (Exact aero-piston multi-cylinder telemetry matching UAV engine architecture),High (Per-cylinder EGT/CHT/Oil/FFlow channels ideal for physics injection),10,10,9,9,9,9,10,10,10,9.56,PRIMARY DATASET
DS-02,OpenEngineData Public Flight Logs,OpenEngineData.org,https://openenginedata.org,Real Flight Telemetry,Continental IO-550 / Lycoming IO-540 (6-cyl) & IO-360 (4-cyl),General Aviation Aircraft (JPI EDM-700/800/900),Aero Piston,50+ community flights,~150000 rows per flight,25 MB (sample pack),5 MB (3 representative flights),0.17 - 1 Hz (1-6 sec),"RPM, MAP, Fuel Flow, Oil Temp, Oil Press, EGT 1-6, CHT 1-6, TIT, OAT, Battery Volts",Partial (pilot community incident notes: mag drop / carb ice),No,No,Low (<0.5% after EDM sync),Yes (deg F / PSI / GPH / RPM / InHg),Open Community / OED Public Access,Yes,Yes (non-commercial open access),Directly Downloadable (OED Viewer / web),High (Open parser + CSV export),High (JPI EDM digital engine monitor logs from 4 and 6 cylinder aero engines),High (Ideal for multi-cylinder thermal and ignition fault injection),10,10,9,8,10,8,8,9,9,9.00,BACKUP / COMPLEMENTARY REAL DATASET
DS-03,Garmin G1000 Sample Flight Logs (Roznet FlightLogStats),GitHub (roznet/flightlogstats),https://github.com/roznet/flightlogstats,Real Flight Telemetry,Lycoming IO-360 / Continental TSIO-550,Cirrus SR22 / Cessna 172 (Garmin G1000 MFD),Aero Piston,12 sample flights,~45000 rows,3.2 MB,3.2 MB,1 Hz,"E1 RPM, E1 OilT, E1 OilP, E1 MAP, E1 FFlow, E1 CHT1-4/6, E1 EGT1-4/6, OAT, AltMSL, IAS",No (Healthy baseline flights),No,No,Zero missing in valid ranges,Yes (Standard Garmin G1000 CSV format),MIT License,Yes,Yes,Directly Downloadable (GitHub repo),High (Raw CSV included in Git repository),High (Real 1 Hz digital avionics engine telemetry),High (Ideal for healthy baseline baseline-modeling and zero-fault baseline),10,10,9,9,10,7,10,10,9,8.78,SUPPORTING BASELINE DATASET
DS-04,Dubravko Miljkovic SOM Piston Engine Study (MIPRO 2017),MIPRO 2017 Conference Proceedings,https://doi.org/10.23919/MIPRO.2017.7973581,Real Flight Telemetry + Synthetic Faults,6-cylinder Aircraft Piston Engine (Continental/Lycoming with JPI EDM),General Aviation Aircraft,Aero Piston,2 flights (Flt#192 & Flt#193),1632 rows (896 + 736),<1 MB (Estimated),N/A (Raw files unreleased),0.167 Hz (6 sec),"EGT 1-6, CHT 1-6, TIT, Oil Temp, Oil Press, Volts, Fuel Flow, OAT",Yes (Injected valve / spark / lean faults described in paper),No,No,Unknown (proprietary raw files),Yes (deg C / deg F),Conference Copyright (IEEE / MIPRO) - Data unreleased,N/A (Data not public),N/A,NOT LOCATED (Paper verified; raw dataset not public),Low (Requires contacting author directly),High (Directly targets piston SOM fault detection),High (Paper provides exact fault signature blueprints),8,10,9,8,10,9,4,3,8,7.67,REFERENCE ONLY (Paper verified; raw dataset not located)
DS-05,Savvy Aviation Engine Monitor Case Studies (Mike Busch),Savvy Aviation Diagnostics Repository,https://www.savvyaviation.com/resources/savvy-case-studies/,Real Flight Telemetry (Case Logs),Lycoming / Continental / Rotax Aero Piston Engines,Various GA Aircraft (Bonanza / Cirrus / Cessna / Mooney),Aero Piston,100+ diagnostic case studies,~500000 rows across cases,~50 MB (web logs),10 MB (selected failure cases),0.17 - 1 Hz,"EGT 1-6, CHT 1-6, RPM, MAP, Fuel Flow, Oil Temp, Oil Press, TIT",Yes (Expert-diagnosed: burned exhaust valves / failing magnetos / stuck rings),Yes (Progressive valve failure over 50 flight hours),Partial,Low,Yes (Standard US Aviation units),Proprietary Case Archive (Public Web Access),Yes (Educational / Research citation),No (Commercial service),Partially Downloadable (CSV available via public web case links),Medium (Requires web scraping / manual export),High (Gold standard for real piston engine fault signatures),High (Authentic ground-truth failure modes from operational piston aircraft),10,10,9,9,9,9,6,7,9,8.67,QUALITATIVE GROUND TRUTH REFERENCE
DS-06,NASA C-MAPSS Turbofan Degradation Dataset (FD001-FD004),NASA Prognostics Data Repository,https://data.nasa.gov/dataset/C-MAPSS-Aircraft-Engine-Simulator-Data/xaut-bemq,Simulated (C-MAPSS physics model),Commercial High-Bypass Turbofan (Gas Turbine),Commercial Transport Aircraft,Turbofan (NOT Piston),"709 engines (FD001: 100 train, 100 test)",~200000 rows,12 MB (FD001-FD004 zip),2.5 MB (FD001 single-regime benchmark),1 cycle/sample (averaged per flight),"T24, T30, T50, P30, Nf, Nc, Ps30, phi, BPR, bleed (21 turbofan sensor channels)",Yes (High Pressure Compressor & Fan degradation),Yes (Run-to-failure run trajectories),Yes (Exact RUL ground truth cycles provided),Zero missing,Normalized engineering units,Public Domain (US Government Work),Yes,Yes,Directly Downloadable (NASA Portal / Kaggle),High (Standardized international PHM benchmark),Low (Turbofan thermodynamics; NOT UAV piston engine),Medium (Useful only for algorithm regression benchmarking),7,1,6,10,10,10,10,10,5,6.56,SECONDARY PROGNOSTICS BENCHMARK (Generic RUL validation only)
DS-07,NASA N-CMAPSS (New Commercial Modular Aero-Propulsion),NASA Ames Prognostics Center of Excellence,https://data.nasa.gov/dataset/N-CMAPSS-Aircraft-Engine-Data/,Simulated (Advanced MAPSS physics model),Large Commercial Turbofan with Advanced Degradation,Commercial Aircraft,Turbofan (NOT Piston),15 flight units per sub-dataset,>6500000 rows,3.6 GB per H5 file,2.3 GB (DS01 subset),1 Hz,"Fan speed, Core speed, Turbine temps, Compressor pressures, Fuel flow (14 physical sensors + 14 virtual)",Yes (High-pressure turbine & compressor wear),Yes (Multi-flight continuous degradation),Yes (Exact RUL in flight cycles/seconds),Zero missing,Standard SI / imperial units,Public Domain,Yes,Yes,Directly Downloadable (NASA / Dataverse),High (HDF5 structured dataset),Low (Turbofan system; NOT UAV piston engine),Medium (Too heavy for student laptop; non-piston),6,1,8,10,5,9,10,9,4,5.78,SECONDARY REFERENCE (Heavy turbofan benchmark)
DS-08,JSBSim FGPiston Open Synthetic Telemetry,JSBSim Flight Dynamics Model (Python API),https://github.com/JSBSim-Team/jsbsim,Physics Simulation (FGPiston + FGPropeller),Lycoming O-360 / IO-360 / Custom Rotax 914,Cessna 172p / Custom MALE UAV Airframe,Aero Piston,Configurable (Unlimited synthetic runs),Configurable (e.g. 500000 rows per run),Dynamic (Generated on-the-fly <10 MB),10 MB (10 synthetic mission profiles),10 - 120 Hz (Configurable down to 1 Hz),"RPM, MAP, EGT, CHT, Oil Temp, Fuel Flow, Cylinder Power, Thrust, Airspeed, Altitude, Mixture",Yes (Injectable via Python property tree at runtime),Yes (Injectable wear / thermal resistance / friction parameters),Yes (Exact failure timestamp configurable),Zero missing,Yes (Standard engineering units deg R / InHg / lbs/hr / RPM),LGPL-2.1 License,Yes,Yes,Directly Executable via Python (`pip install jsbsim`),High (100% deterministic & scriptable),High (Open-source aeromechanical and thermodynamic piston model),High (Complete control over internal physical parameters),8,9,8,10,10,10,10,10,9,9.33,PRIMARY SIMULATION STACK
DS-09,ArduPilot SITL + Gazebo MAVLink UAV Telemetry,ArduPilot Project & Gazebo Sim,https://github.com/ArduPilot/ardupilot,Simulation (Flight Controller SITL + Physics Engine),Internal Combustion / Electric UAV Powerplant,Standard Plane / MALE UAV Fixed-Wing,Aero Piston / Generic UAV,Configurable runs,Configurable (~100000 rows/hr),Dynamic (Generated via MAVLink logging),20 MB (MAVLink telemetry logs),10 - 50 Hz,"Engine RPM (via ESC/RPM sensor), Servo throttle, Airspeed, Groundspeed, Altitude, Battery/Gen Volts, Current, Vibration (IMU)",Partial (Failsafe events / sensor dropouts / motor failure),No,No,Low,Yes (MAVLink standard SI units),GPL-3.0 License,Yes,Yes,Directly Executable (Open Source SITL),High (Repeatable SITL flight simulator),High (Simulates complete UAV mission profile and autopilot failsafes),Medium (Limited internal cylinder thermodynamic channels out-of-the-box),7,7,7,9,8,7,9,9,8,7.89,SECONDARY UAV MISSION SIMULATOR
DS-10,OpenModelica ICE Thermofluid Engine Models,OpenModelica / Modelica Standard Library,https://openmodelica.org,Reduced-Order Physical Simulation (1D Thermal/Fluid),4-Stroke Spark-Ignition / Compression-Ignition Piston Engine,Generic Testbed,Piston (1D Lumped Parameter),Configurable test cycles,Configurable (~50000 rows/run),Dynamic (<5 MB),5 MB (FMI FMU export),Variable (0.001 - 100 Hz),"Cylinder pressure, Indicated work, Wall heat transfer, Exhaust temp, Coolant temp, Oil temp, Crank angle",Yes (Parameterizable valve leakage, heat transfer degradation, friction),Yes (Continuous physical parameter drift),Yes (Calculable from thermal/mechanical limits),Zero missing,Yes (Standard SI units K / Pa / J / W / rad/s),OSMC-PL / EPL-2.0,Yes,Yes,Directly Downloadable & Exportable to Python (PyFMI),High (Standardized Modelica differential equations),Medium (Requires building aero-propulsion packaging),High (Deep first-principles thermodynamic fault equations),8,9,9,10,9,9,10,9,8,8.78,PHYSICAL COMPONENT VALIDATION TOOL
