fault_id,fault_name,severity,affected_cylinder,onset_time_sec,critical_threshold,source_flight_id,random_seed,file_path,rows,duration_sec,oscillation_freq_hz,mode,sensor_channel,drift_rate_cps
FT-01,Spark Plug Fouling / Ignition Drop,0.9,1,1200,EGT divergence > +45°C or RPM drop > 40,FLIGHT_01,42,data/injected/ignition/flight_01_ft01_spark_cyl1.csv,2786,,,,,
FT-02,Fuel Injector Degradation / Lean Shift,0.35,2,1000,Clogging > 20% (Combustion Misfire Limit),FLIGHT_01,42,data/injected/injector/flight_01_ft02_injector_cyl2.csv,2786,1200.0,,,,
FT-03,Burnt Exhaust Valve Leakage,0.85,3,800,Valve guttering breach / Loss of compression,FLIGHT_01,42,data/injected/valve/flight_01_ft03_valve_cyl3.csv,2786,600.0,0.065,,,
FT-04,Cooling Baffle / Thermal Degradation,1.0,1,1400,Piston Crown Melting / Catastrophic Detonation Seizure,FLIGHT_01,42,data/injected/thermal/flight_01_ft04_detonation_cyl1.csv,2786,,,detonation,,
FT-04,Cooling Baffle / Thermal Degradation,0.9,4,900,CHT Redline Limit > 224°C (435°F),FLIGHT_01,42,data/injected/thermal/flight_01_ft05_baffle_cyl4.csv,2786,,,baffle,,
FT-06,Lubrication Degradation / Oil Pressure Loss,0.6,0,1100,Oil Pressure < 172 kPa (25 PSI) / Engine Bearing Seizure,FLIGHT_01,42,data/injected/lubrication/flight_01_ft06_lubrication_loss.csv,2786,,,,,
FT-07,Intake Manifold Runner Leak,0.75,2,1300,Severe Idle Lean Stalling / Throttle Inconsistency,FLIGHT_01,42,data/injected/valve/flight_01_ft07_intake_leak_cyl2.csv,2786,,,,,
FT-08,Thermocouple Sensor Drift,1.0,3,700,Sensor Offset > 50°C (False Diagnostic Trigger Limit),FLIGHT_01,42,data/injected/sensor/flight_01_ft08_sensor_drift_cyl3.csv,2786,,,,egt_3_c,0.025
FT-09,Sensor Open-Circuit Dropout,1.0,1,1600,Immediate Channel Loss,FLIGHT_01,42,data/injected/sensor/flight_01_ft09_dropout_cyl1.csv,2786,,,,cht_1_c,
FT-01,Spark Plug Fouling / Ignition Drop,0.9,1,1200,EGT divergence > +45°C or RPM drop > 40,FLIGHT_02,42,data/injected/ignition/flight_02_ft01_spark_cyl1.csv,2842,,,,,
FT-02,Fuel Injector Degradation / Lean Shift,0.35,2,1000,Clogging > 20% (Combustion Misfire Limit),FLIGHT_02,42,data/injected/injector/flight_02_ft02_injector_cyl2.csv,2842,1200.0,,,,
FT-03,Burnt Exhaust Valve Leakage,0.85,3,800,Valve guttering breach / Loss of compression,FLIGHT_02,42,data/injected/valve/flight_02_ft03_valve_cyl3.csv,2842,600.0,0.065,,,
FT-04,Cooling Baffle / Thermal Degradation,1.0,1,1400,Piston Crown Melting / Catastrophic Detonation Seizure,FLIGHT_02,42,data/injected/thermal/flight_02_ft04_detonation_cyl1.csv,2842,,,detonation,,
FT-04,Cooling Baffle / Thermal Degradation,0.9,4,900,CHT Redline Limit > 224°C (435°F),FLIGHT_02,42,data/injected/thermal/flight_02_ft05_baffle_cyl4.csv,2842,,,baffle,,
FT-06,Lubrication Degradation / Oil Pressure Loss,0.6,0,1100,Oil Pressure < 172 kPa (25 PSI) / Engine Bearing Seizure,FLIGHT_02,42,data/injected/lubrication/flight_02_ft06_lubrication_loss.csv,2842,,,,,
FT-07,Intake Manifold Runner Leak,0.75,2,1300,Severe Idle Lean Stalling / Throttle Inconsistency,FLIGHT_02,42,data/injected/valve/flight_02_ft07_intake_leak_cyl2.csv,2842,,,,,
FT-08,Thermocouple Sensor Drift,1.0,3,700,Sensor Offset > 50°C (False Diagnostic Trigger Limit),FLIGHT_02,42,data/injected/sensor/flight_02_ft08_sensor_drift_cyl3.csv,2842,,,,egt_3_c,0.025
FT-09,Sensor Open-Circuit Dropout,1.0,1,1600,Immediate Channel Loss,FLIGHT_02,42,data/injected/sensor/flight_02_ft09_dropout_cyl1.csv,2842,,,,cht_1_c,
FT-01,Spark Plug Fouling / Ignition Drop,0.9,1,1200,EGT divergence > +45°C or RPM drop > 40,FLIGHT_03,42,data/injected/ignition/flight_03_ft01_spark_cyl1.csv,4411,,,,,
FT-02,Fuel Injector Degradation / Lean Shift,0.35,2,1000,Clogging > 20% (Combustion Misfire Limit),FLIGHT_03,42,data/injected/injector/flight_03_ft02_injector_cyl2.csv,4411,1200.0,,,,
FT-03,Burnt Exhaust Valve Leakage,0.85,3,800,Valve guttering breach / Loss of compression,FLIGHT_03,42,data/injected/valve/flight_03_ft03_valve_cyl3.csv,4411,600.0,0.065,,,
FT-04,Cooling Baffle / Thermal Degradation,1.0,1,1400,Piston Crown Melting / Catastrophic Detonation Seizure,FLIGHT_03,42,data/injected/thermal/flight_03_ft04_detonation_cyl1.csv,4411,,,detonation,,
FT-04,Cooling Baffle / Thermal Degradation,0.9,4,900,CHT Redline Limit > 224°C (435°F),FLIGHT_03,42,data/injected/thermal/flight_03_ft05_baffle_cyl4.csv,4411,,,baffle,,
FT-06,Lubrication Degradation / Oil Pressure Loss,0.6,0,1100,Oil Pressure < 172 kPa (25 PSI) / Engine Bearing Seizure,FLIGHT_03,42,data/injected/lubrication/flight_03_ft06_lubrication_loss.csv,4411,,,,,
FT-07,Intake Manifold Runner Leak,0.75,2,1300,Severe Idle Lean Stalling / Throttle Inconsistency,FLIGHT_03,42,data/injected/valve/flight_03_ft07_intake_leak_cyl2.csv,4411,,,,,
FT-08,Thermocouple Sensor Drift,1.0,3,700,Sensor Offset > 50°C (False Diagnostic Trigger Limit),FLIGHT_03,42,data/injected/sensor/flight_03_ft08_sensor_drift_cyl3.csv,4411,,,,egt_3_c,0.025
FT-09,Sensor Open-Circuit Dropout,1.0,1,1600,Immediate Channel Loss,FLIGHT_03,42,data/injected/sensor/flight_03_ft09_dropout_cyl1.csv,4411,,,,cht_1_c,
FT-01,Spark Plug Fouling / Ignition Drop,0.9,1,1200,EGT divergence > +45°C or RPM drop > 40,FLIGHT_04,42,data/injected/ignition/flight_04_ft01_spark_cyl1.csv,8113,,,,,
FT-02,Fuel Injector Degradation / Lean Shift,0.35,2,1000,Clogging > 20% (Combustion Misfire Limit),FLIGHT_04,42,data/injected/injector/flight_04_ft02_injector_cyl2.csv,8113,1200.0,,,,
FT-03,Burnt Exhaust Valve Leakage,0.85,3,800,Valve guttering breach / Loss of compression,FLIGHT_04,42,data/injected/valve/flight_04_ft03_valve_cyl3.csv,8113,600.0,0.065,,,
FT-04,Cooling Baffle / Thermal Degradation,1.0,1,1400,Piston Crown Melting / Catastrophic Detonation Seizure,FLIGHT_04,42,data/injected/thermal/flight_04_ft04_detonation_cyl1.csv,8113,,,detonation,,
FT-04,Cooling Baffle / Thermal Degradation,0.9,4,900,CHT Redline Limit > 224°C (435°F),FLIGHT_04,42,data/injected/thermal/flight_04_ft05_baffle_cyl4.csv,8113,,,baffle,,
FT-06,Lubrication Degradation / Oil Pressure Loss,0.6,0,1100,Oil Pressure < 172 kPa (25 PSI) / Engine Bearing Seizure,FLIGHT_04,42,data/injected/lubrication/flight_04_ft06_lubrication_loss.csv,8113,,,,,
FT-07,Intake Manifold Runner Leak,0.75,2,1300,Severe Idle Lean Stalling / Throttle Inconsistency,FLIGHT_04,42,data/injected/valve/flight_04_ft07_intake_leak_cyl2.csv,8113,,,,,
FT-08,Thermocouple Sensor Drift,1.0,3,700,Sensor Offset > 50°C (False Diagnostic Trigger Limit),FLIGHT_04,42,data/injected/sensor/flight_04_ft08_sensor_drift_cyl3.csv,8113,,,,egt_3_c,0.025
FT-09,Sensor Open-Circuit Dropout,1.0,1,1600,Immediate Channel Loss,FLIGHT_04,42,data/injected/sensor/flight_04_ft09_dropout_cyl1.csv,8113,,,,cht_1_c,
FT-01,Spark Plug Fouling / Ignition Drop,0.9,1,1200,EGT divergence > +45°C or RPM drop > 40,FLIGHT_05,42,data/injected/ignition/flight_05_ft01_spark_cyl1.csv,10755,,,,,
FT-02,Fuel Injector Degradation / Lean Shift,0.35,2,1000,Clogging > 20% (Combustion Misfire Limit),FLIGHT_05,42,data/injected/injector/flight_05_ft02_injector_cyl2.csv,10755,1200.0,,,,
FT-03,Burnt Exhaust Valve Leakage,0.85,3,800,Valve guttering breach / Loss of compression,FLIGHT_05,42,data/injected/valve/flight_05_ft03_valve_cyl3.csv,10755,600.0,0.065,,,
FT-04,Cooling Baffle / Thermal Degradation,1.0,1,1400,Piston Crown Melting / Catastrophic Detonation Seizure,FLIGHT_05,42,data/injected/thermal/flight_05_ft04_detonation_cyl1.csv,10755,,,detonation,,
FT-04,Cooling Baffle / Thermal Degradation,0.9,4,900,CHT Redline Limit > 224°C (435°F),FLIGHT_05,42,data/injected/thermal/flight_05_ft05_baffle_cyl4.csv,10755,,,baffle,,
FT-06,Lubrication Degradation / Oil Pressure Loss,0.6,0,1100,Oil Pressure < 172 kPa (25 PSI) / Engine Bearing Seizure,FLIGHT_05,42,data/injected/lubrication/flight_05_ft06_lubrication_loss.csv,10755,,,,,
FT-07,Intake Manifold Runner Leak,0.75,2,1300,Severe Idle Lean Stalling / Throttle Inconsistency,FLIGHT_05,42,data/injected/valve/flight_05_ft07_intake_leak_cyl2.csv,10755,,,,,
FT-08,Thermocouple Sensor Drift,1.0,3,700,Sensor Offset > 50°C (False Diagnostic Trigger Limit),FLIGHT_05,42,data/injected/sensor/flight_05_ft08_sensor_drift_cyl3.csv,10755,,,,egt_3_c,0.025
FT-09,Sensor Open-Circuit Dropout,1.0,1,1600,Immediate Channel Loss,FLIGHT_05,42,data/injected/sensor/flight_05_ft09_dropout_cyl1.csv,10755,,,,cht_1_c,
